City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mount isa,-20.7333,139.5,31.87,43,40,3.09,AU,1675223639
1,hofn,64.2539,-15.2082,-2.35,65,96,5.81,IS,1675223670
2,kapaa,22.0752,-159.319,25.99,85,20,4.12,US,1675223511
3,thompson,55.7435,-97.8558,-33.91,68,20,0.0,CA,1675223590
4,wahiawa,21.5028,-158.0236,25.86,74,75,1.54,US,1675223671
5,albany,42.6001,-73.9662,-6.47,65,97,1.56,US,1675223507
6,santo tomas,14.1079,121.1414,29.2,66,78,4.53,PH,1675223671
7,mahibadhoo,3.7833,72.9667,26.96,75,100,5.5,MV,1675223672
8,salinopolis,-0.6136,-47.3561,23.83,94,100,0.96,BR,1675223553
9,sept-iles,50.2001,-66.3821,-17.0,64,0,4.63,CA,1675223523
10,tuatapere,-46.1333,167.6833,21.63,69,97,2.19,NZ,1675223584
11,hermanus,-34.4187,19.2345,18.22,92,3,1.46,ZA,1675223506
12,channel-port aux basques,47.5702,-59.1367,-6.24,71,74,8.1,CA,1675223673
13,eagle pass,28.7091,-100.4995,3.48,70,100,2.08,US,1675223674
14,barrow,71.2906,-156.7887,-20.99,77,0,11.83,US,1675223513
15,kahului,20.8947,-156.47,25.47,79,20,5.14,US,1675223628
16,georgetown,5.4112,100.3354,28.97,74,20,2.57,MY,1675223264
17,cayenne,4.9333,-52.3333,23.02,100,0,0.51,GF,1675223478
18,ust-karsk,52.7011,118.8077,-17.47,80,14,1.45,RU,1675223675
19,iqaluit,63.7506,-68.5145,-26.15,76,40,8.23,CA,1675223567
20,chokurdakh,70.6333,147.9167,-18.77,97,100,3.28,RU,1675223580
21,khatanga,71.9667,102.5,-42.81,100,63,1.17,RU,1675223542
22,mataura,-46.1927,168.8643,21.32,74,100,1.51,NZ,1675223506
23,pokosnoye,55.5258,101.0536,-12.78,91,100,1.69,RU,1675223677
24,brandon,27.9378,-82.2859,21.17,82,6,1.57,US,1675223576
25,puerto ayora,-0.7393,-90.3518,24.75,89,74,2.05,EC,1675223564
26,rikitea,-23.1203,-134.9692,26.22,70,5,6.38,PF,1675223508
27,yerbogachen,61.2767,108.0108,-26.17,99,96,1.32,RU,1675223678
